FY 2020,,AVNT US Equity,ABB US Equity,ACHC US Equity,AMD US Equity,ASIX US Equity,ACM US Equity,ALK US Equity,ADS US Equity,MO US Equity,ABEV US Equity,AAT US Equity,AXL US Equity,AMT US Equity,AU US Equity,ADM US Equity,AMBP US Equity,T US Equity,ADP US Equity,BHC US Equity,BBY US Equity,BURL US Equity,CMD US Equity,COF US Equity,CAT US Equity,SNP US Equity,CHD US Equity,CIT US Equity,CLF US Equity,CL US Equity,CMC US Equity,COP US Equity,CSTM US Equity,CUB US Equity,DCI US Equity,DTE US Equity,ETRN US Equity,ESNT US Equity,ESS US Equity,FR US Equity,FLWS US Equity,GPS US Equity,GIL US Equity,GKOS US Equity,HSC US Equity,HIG US Equity,HAS US Equity,HBI US Equity,PEAK US Equity,HLF US Equity,HI US Equity,HUN US Equity,INGR US Equity,IBM US Equity,IFF US Equity,IGT US Equity,JHG US Equity,KSU US Equity,7986Z US Equity,KRC US Equity,LOW US Equity,MAC US Equity,MAR US Equity,MRK US Equity,MCO US Equity,MUR US Equity,NJR US Equity,NWL US Equity,NEE US Equity,NWBO US Equity,OCLB US Equity,OEC US Equity,OUT US Equity,PK US Equity,PH US Equity,BTU US Equity,PEP US Equity,GLT US Equity,PSX US Equity,PBI US Equity,PEG US Equity,PSA US Equity,QTS US Equity,RTX US Equity,SPPJY US Equity,SIG US Equity,STM US Equity,SYT US Equity,SYY US Equity,TRGP US Equity,TGT US Equity,HSY US Equity,HD US Equity,SJM US Equity,THS US Equity,UNP US Equity,VIPS US Equity,SHW US Equity,WDAY US Equity,WH US Equity,ZBH US Equity
,,Avient,abb-ltd,acadia-realty-trust,advance-auto-parts-inc,advansix,aecom-technology-corporation,alaska-air-group-inc,alliance-data-systems-corporation,altria-group-inc,ambev-sa,american-assets-trust,american-axle-manufacturing-holdings-inc,american-tower-corporation,anglogold-ashanti-limited,archer-daniels-midland-company,ardagh-group-sa,att-inc,automatic-data-processing-inc,bausch-health-companies-inc,best-buy,burlington-stores-inc,cantel-medical-corp,capital-one-financial-corporation,caterpillar-inc,china-petroleum-chemical-corporation,church-dwight-co-inc,cit-group-inc,cliffs-natural-resources-inc,colgate-palmolive-co,commercial-metals-co,conocophillips,constellium-se,cubic-corp,donaldson-company-inc,dte-energy-co,equitrans-midstream-corporation,essent-group-ltd,essex-property-trust,first-industrial-realty-trust-inc,flowers-foods-inc,gap-inc,gildan-activewear-inc,glaukos-corporation,harsco-corporation,hartford-financial-services-group-inc,hasbro-inc,hb-fuller-co,healthpeak-properties,herbalife-ltd,hillenbrand-inc,huntsman-corp,ingredion-incorporated,international-business-machines-corp,international-flavors-fragrances-inc,international-game-technology,janus-henderson-group-plc,kansas-city-southern,keybank,kilroy-realty-corporation,lowes-companies-inc,macerich-company,marriott-vacaions-worldwide,merck-co-inc,moodys-corp,murphy-oil-corporation,new-jersey-resources-corp,newell-brands-inc,nextera-energy-inc,northwest-natural-gas-company,office-depot-inc,orion-engineered-carbons,outfront-media,park-hotels-resorts-inc,parker-hannifin-corporation,peabody-energy-corp,pepsico-inc,ph-glatfelter-co,phillips,pitney-bowes-inc,public-service-enterprise-group-inc,public-storage,qts-realty-trust-inc,raytheon-co,sappi-ltd,signet-jewelers-limited,stmicroelectronics,syngenta-ag,sysco-corp,targa-resources-partners-lp,target-corp,the-hershey-company,the-home-depot-inc,the-j-m-smucker-company,treehouse-foods-inc,union-pacific-corporation,vipshop-hldings-limited,williams-companies-inc,workday,wyndham-hotels-resorts-inc,zimmer-holdings-inc
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,57.36,58.14,6.20,46.51,19.38,20.16,45.74,24.81,—,41.86,17.05,31.01,41.86,47.29,41.09,—,62.60,15.50,11.63,46.88,39.53,2.33,—,41.86,42.98,61.24,19.64,53.49,—,64.34,—,—,9.30,13.95,—,42.64,10.71,39.53,—,8.53,42.71,55.04,13.95,32.56,41.07,—,—,—,35.66,6.98,55.81,—,60.47,—,47.29,23.21,49.61,—,36.43,43.75,51.94,45.74,60.47,41.09,49.59,13.79,20.16,38.62,—,—,—,—,—,22.48,22.48,48.84,—,41.09,33.33,—,12.40,—,39.53,—,30.23,56.59,—,—,38.76,58.33,62.02,39.58,36.43,—,46.51,—,51.94,33.33,—,12.40
Disclosure,,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,1.00,—,—,1.00,—,—,—,—,—,1.00,1.00,1.00,—,1.00,—,—,—,—,—,—,1.00,—,—,—,—,—,—,1.00,—,—,—,—,1.00,—,1.00,—,—,1.00,1.00,—,—,1.00,—,—,1.00,—,—,1.00,—,1.00,1.00,—,—,—,—,—,—,1.00,1.00,1.00,1.00,1.00,—,—,—,—,—,—,—,—,3.00,—,1.00,—,1.00,—,—,1.00,—,1.00,—,—,—,—,—,—,1.00,—,—,2.00,—,—,—,—,—,—,—
Reporting Basis Consistent?,CONSISTENT_REPORTING_BASIS,—,—,—,1.00,—,—,1.00,—,—,—,—,—,1.00,0.00,1.00,—,1.00,—,—,—,—,—,—,1.00,—,—,—,—,—,—,1.00,—,—,—,—,1.00,—,1.00,—,—,1.00,1.00,—,—,1.00,—,—,1.00,—,—,1.00,—,1.00,1.00,—,—,—,—,—,—,—,1.00,1.00,1.00,—,—,—,—,—,—,—,—,—,1.00,—,1.00,—,1.00,—,—,—,—,1.00,—,—,—,—,—,—,1.00,—,—,—,—,—,—,—,—,—,—
GRI Criteria Compliance,GRI_COMPLIANCE,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,—,1.00,0.00,1.00,1.00,1.00,1.00,—,1.00,1.00,0.00,1.00,1.00,0.00,—,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,—,1.00,0.00,1.00,—,0.00,1.00,1.00,1.00,1.00,1.00,—,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,—,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,—,—,—,—,0.00,0.00,1.00,—,0.00,1.00,1.00,0.00,—,0.00,1.00,0.00,1.00,—,1.00,1.00,1.00,1.00,1.00,0.00,—,1.00,—,1.00,1.00,1.00,0.00
Global Reporting Initiatives Checked,GRI_CHECKED,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,—,0.00,0.00,0.00,1.00,0.00,0.00,—,0.00,0.00,0.00,0.00,0.00,0.00,—,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,—,0.00,0.00,0.00,—,0.00,0.00,0.00,0.00,0.00,0.00,—,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,—,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,—,—,—,—,0.00,0.00,0.00,—,0.00,0.00,—,0.00,—,0.00,—,0.00,1.00,—,0.00,0.00,0.00,0.00,1.00,0.00,—,0.00,—,0.00,0.00,—,0.00
Verification Type,VERIFICATION_TYPE,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,—,1.00,0.00,1.00,0.00,1.00,1.00,—,1.00,0.00,0.00,1.00,0.00,0.00,—,1.00,0.00,0.00,0.00,0.00,—,0.00,1.00,1.00,0.00,0.00,—,0.00,0.00,0.00,—,0.00,0.00,1.00,0.00,0.00,1.00,—,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,—,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,—,—,—,—,0.00,0.00,1.00,—,0.00,0.00,0.00,0.00,—,0.00,1.00,0.00,1.00,—,0.00,0.00,1.00,0.00,0.00,1.00,—,0.00,—,0.00,0.00,1.00,0.00
Emissions,,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty
Total GHG Emissions,TOTAL_GHG_EMISSIONS,108.87,537.00,—,47.32,—,112.34,"4,154.00",13.69,—,507.60,—,455.23,627.71,"2,428.00","16,200.00",—,"6,680.01",—,—,—,192.72,—,—,"1,521.00","170,940.00",165.80,—,"32,200.00",—,"2,626.55","16,200.00","1,047.00",—,113.14,—,"1,886.26",—,47.71,—,—,362.52,—,—,292.77,25.19,—,173.77,288.72,25.70,—,"1,100.52","3,998.67",919.70,276.16,65.00,3.05,"1,230.00",—,26.12,"2,109.00",57.00,"5,125.48","1,130.80",7.83,"1,200.88",—,372.12,—,—,—,—,—,—,—,—,"5,272.32",—,"30,050.00",69.58,"10,376.80",—,—,"1,538.61","5,279.31",64.74,"1,050.00",—,—,"10,200.00","2,433.23",358.74,"1,946.00",439.46,—,"9,157.47",—,627.27,38.63,238.07,—
